date,hls_date,gcc_mean,evi,source_file
8/19/2023,8/19/2023,0.39233,0.866164088,arsope3ltar_2023
8/2/2022,8/2/2022,0.41462,0.865166008,mead1_2022
8/24/2022,8/24/2022,0.40677,0.864296913,mead1_2022
8/29/2022,8/29/2022,0.40252,0.864050508,arsbrooks10_2022
8/19/2023,8/19/2023,0.41265,0.863698781,arsltarucbec1_2023
8/6/2022,8/6/2022,0.42335,0.862758994,arsbrooks10_2022
8/29/2022,8/29/2022,0.39643,0.862312615,ecb4_2022
8/20/2021,8/20/2021,0.40192,0.862168014,arsope3ltar_2021
8/21/2021,8/21/2021,0.40111,0.861891925,arsope3ltar_2021
8/30/2022,8/30/2022,0.38795,0.861565292,ecb4_2022
8/22/2021,8/22/2021,0.39583,0.861396313,arsope3ltar_2021
9/1/2022,9/1/2022,0.39102,0.86126709,ecb4_2022
8/28/2022,8/28/2022,0.39669,0.860901535,ecb4_2022
8/31/2022,8/31/2022,0.39151,0.860537767,ecb4_2022
8/18/2021,8/18/2021,0.39922,0.860054851,arsope3ltar_2021
8/19/2021,8/19/2021,0.40156,0.859947383,arsope3ltar_2021
8/26/2022,8/26/2022,0.39499,0.859939754,ecb4_2022
8/27/2023,8/27/2023,0.41488,0.859783113,ecb1_2023
8/23/2021,8/23/2021,0.40055,0.859766662,arsope3ltar_2021
8/25/2022,8/25/2022,0.40717,0.859497547,mead1_2022
8/17/2021,8/17/2021,0.40454,0.859373093,arsope3ltar_2021
8/16/2021,8/16/2021,0.40586,0.858984649,arsope3ltar_2021
8/25/2022,8/25/2022,0.40226,0.858889878,ecb4_2022
8/24/2021,8/24/2021,0.39729,0.858837485,arsope3ltar_2021
8/6/2023,8/6/2023,0.41808,0.858626485,ecb1_2023
8/15/2021,8/15/2021,0.40461,0.858336329,arsope3ltar_2021
8/1/2022,8/1/2022,0.41921,0.858058691,mead1_2022
9/2/2022,9/2/2022,0.39821,0.858056545,ecb4_2022
8/15/2023,8/15/2023,0.4084,0.858052194,ecb4_2023
8/14/2023,8/14/2023,0.40619,0.857854664,ecb4_2023
8/26/2022,8/26/2022,0.40347,0.857572615,mead1_2022
8/25/2021,8/25/2021,0.39896,0.857522607,arsope3ltar_2021
8/24/2022,8/24/2022,0.40216,0.857433558,ecb4_2022
8/14/2021,8/14/2021,0.40672,0.857399821,arsope3ltar_2021
8/18/2023,8/18/2023,0.39458,0.857049346,arsope3ltar_2023
8/13/2021,8/13/2021,0.40723,0.856142044,arsope3ltar_2021
8/16/2023,8/16/2023,0.40871,0.856126785,ecb4_2023
8/26/2021,8/26/2021,0.39741,0.855743051,arsope3ltar_2021
8/23/2022,8/23/2022,0.40293,0.855532825,ecb4_2022
8/30/2022,8/30/2022,0.40709,0.855410933,arsbrooks10_2022
8/13/2023,8/13/2023,0.40946,0.855395794,ecb4_2023
9/11/2023,9/11/2023,0.39533,0.855056405,arsltarucbec1_2023
9/3/2022,9/3/2022,0.39069,0.854149342,ecb4_2022
8/27/2021,8/27/2021,0.39748,0.853402615,arsope3ltar_2021
8/22/2022,8/22/2022,0.39884,0.853144944,ecb4_2022
8/27/2022,8/27/2022,0.39814,0.852703273,mead1_2022
8/5/2022,8/5/2022,0.41319,0.852461994,arsbrooks10_2022
8/11/2021,8/11/2021,0.40928,0.852346301,arsope3ltar_2021
8/17/2023,8/17/2023,0.40923,0.852181911,ecb4_2023
8/12/2023,8/12/2023,0.40478,0.85062629,ecb4_2023
8/28/2021,8/28/2021,0.39638,0.850619972,arsope3ltar_2021
